Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,target,CLTV,avg_ticket,Total Charges Log,avg_ticket_log,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
33.964131,-118.272783,2,53.85,108.15,1,3239,36.050000000000004,4.692723082995953,3.612268351742096,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.059281,-118.30742,2,70.7,151.65,1,2701,50.550000000000004,5.028147719180887,3.942552210462969,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.048013,-118.293953,8,99.65,820.5,1,5372,91.16666666666667,6.711131937477322,4.5235985322942796,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.062125,-118.315709,28,104.8,3046.05,1,5003,105.03620689655173,8.02192918843427,4.663780610284551,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
34.039224,-118.266293,49,103.7,5036.3,1,5340,100.726,8.524625503233533,4.622282924264601,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
34.066367,-118.309868,10,55.2,528.35,1,5925,48.03181818181818,6.271649838789389,3.8924694380230673,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
34.02381,-118.156582,1,39.65,39.65,1,5433,19.825,3.7049988359938197,3.0361541880529064,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
34.066303,-118.435479,1,20.15,20.15,1,4832,10.075,3.0516399054922867,2.4046903159311994,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
34.099869,-118.326843,47,99.35,4749.15,1,5789,98.940625,8.46593147547745,4.604576259648756,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34.089953,-118.294824,1,30.2,30.2,1,2915,15.1,3.4404180948154366,2.7788192719904172,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.078821,-118.177576,17,64.7,1093.1,1,3022,60.727777777777774,6.9976873864827445,4.122734036693799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
34.110845,-118.259595,5,69.7,316.9,1,2454,52.81666666666666,5.761736867916757,3.9855832085361746,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.137412,-118.207607,34,106.35,3549.25,1,2941,101.40714285714286,8.174773302525123,4.628956464636963,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.11572,-118.192754,11,97.85,1105.4,1,5674,92.11666666666667,7.008866780350549,4.533853187237048,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
33.987945,-118.370442,2,80.65,144.15,1,5586,48.050000000000004,4.977767690470639,3.892840186011372,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
