Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,target,CLTV,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
33.964131,-118.272783,2,53.85,108.15,1,3239,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.059281,-118.30742,2,70.7,151.65,1,2701,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.048013,-118.293953,8,99.65,820.5,1,5372,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.062125,-118.315709,28,104.8,3046.05,1,5003,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
34.039224,-118.266293,49,103.7,5036.3,1,5340,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
34.066367,-118.309868,10,55.2,528.35,1,5925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
34.02381,-118.156582,1,39.65,39.65,1,5433,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
34.066303,-118.435479,1,20.15,20.15,1,4832,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
34.099869,-118.326843,47,99.35,4749.15,1,5789,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34.089953,-118.294824,1,30.2,30.2,1,2915,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.078821,-118.177576,17,64.7,1093.1,1,3022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
34.110845,-118.259595,5,69.7,316.9,1,2454,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.137412,-118.207607,34,106.35,3549.25,1,2941,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.11572,-118.192754,11,97.85,1105.4,1,5674,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
33.987945,-118.370442,2,80.65,144.15,1,5586,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
33.92128,-118.274186,15,99.1,1426.4,1,2966,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
34.044271,-118.185237,8,80.65,633.3,1,5302,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34.108833,-118.229715,18,95.45,1752.55,1,3179,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34.063947,-118.383001,9,94.4,857.25,1,5571,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
33.97803,-118.217141,1,79.35,79.35,1,2483,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
33.923573,-118.200669,7,75.15,496.9,1,3457,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33.977468,-118.445475,12,78.95,927.35,1,5806,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.956445,-118.358634,5,21.05,113.85,1,2604,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
33.936291,-118.332639,25,98.5,2514.5,1,5337,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.031529,-118.491156,68,110.0,7611.85,1,5034,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
33.867257,-118.330794,55,96.75,5238.9,1,5154,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
33.972119,-118.020188,37,76.5,2868.15,1,2793,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.976678,-118.065875,10,100.25,1064.65,1,5998,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
33.940619,-117.9513,3,74.4,229.55,1,4415,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.989524,-118.089299,27,78.05,2135.5,1,4638,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
33.391181,-118.421305,25,58.6,1502.65,1,4190,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
33.798266,-118.300237,1,35.45,35.45,1,2301,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
33.840524,-118.148403,2,44.35,81.25,1,2570,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33.79499,-118.065591,1,70.45,70.45,1,3964,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33.736387,-118.284363,8,71.15,563.65,1,2662,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
33.822295,-118.26411,1,45.65,45.65,1,2600,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.783047,-118.1486,7,95.0,655.5,1,2786,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
34.196837,-118.142236,20,82.4,1592.35,1,5719,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.1528,-118.000482,4,70.9,273.0,1,4287,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.168686,-118.057505,58,45.3,2651.2,1,5444,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
34.296574,-118.244839,2,104.4,242.8,1,4690,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
34.167465,-118.165327,53,94.85,5000.2,1,4328,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
34.139402,-118.128658,15,74.45,1145.7,1,5717,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.159007,-118.087353,7,76.45,503.6,1,4419,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.167926,-118.267539,1,29.95,29.95,1,4534,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.136306,-118.26036,8,84.5,662.65,1,2152,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.162515,-118.203869,13,79.25,1111.65,1,5142,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
34.182378,-118.262922,1,24.8,24.8,1,4851,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.224377,-118.632656,6,91.0,531.0,1,2283,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
34.266389,-118.459744,1,79.9,79.9,1,3394,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34.502432,-118.41459,19,106.6,1934.45,1,3764,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
34.231053,-118.338307,2,46.0,84.5,1,2667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34.364153,-118.615583,4,70.15,268.35,1,2227,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
