Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,CLTV,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,total_services,fiber_price_impact,avg_ticket,is_new_customer,target
34.424926,-117.184503,35,3.9160150266976834,7.439941139869458,2782,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,3,0.0,48.61857142857143,0,0
39.597975,-122.032248,15,4.33204826486764,7.049732157877687,4634,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,75.1,76.77,0,0
40.336392,-122.448533,13,3.7268975213014572,6.382408058697126,2898,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,0.0,45.41153846153846,0,0
33.752591,-117.993661,26,4.310799125385514,7.553129278070399,3596,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,4,0.0,73.29615384615384,0,0
33.734933,-117.044145,1,3.8188106237059674,3.8188106237059674,3408,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0,44.55,1,0
37.792489,-122.244314,66,4.388257184424518,8.55585605669363,4285,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,5,0.0,78.72878787878788,0,0
37.717196,-122.159338,1,3.0349529867072724,3.0349529867072724,3129,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,0,0.0,19.8,1,0
34.130861,-118.68346,40,4.053522567701846,7.774897782589561,3359,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0.0,59.4775,0,0
36.696759,-119.024051,65,4.107589788972121,8.24517447231989,6034,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,2,0.0,58.58769230769231,0,0
33.833686,-117.513063,60,4.401216329067023,8.486331841227319,4159,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,4,0.0,80.78416666666666,0,0
38.148862,-121.737696,5,4.109233174715851,5.665907522227275,3662,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,0.0,57.57000000000001,1,0
